Origin,Country,Country,Country,Country
Afghan, Albania,Visa required,,
Afghan, Algeria,Visa required,,
Afghan, Andorra,Visa required,,
Afghan, Angola,Visa required,,
Afghan, Antigua and Barbuda,eVisa[needs update?,,
Afghan, Argentina,Visa required,,
Afghan, Armenia,Visa required,,
Afghan, Australia,Visa required,,May apply online (Online Visitor e600 visa).[6]
Afghan, Austria,Visa required,,
Afghan, Azerbaijan,Visa required,,
Afghan, Bahamas,Visa required,,
Afghan, Bahrain,Visa required,,
Afghan, Bangladesh,Visa on arrival,,
Afghan, Barbados,Visa required,,
Afghan, Belarus,Visa required,,Registration upon arrival for stays longer than 5 days is mandatory.
Afghan, Belgium,Visa required,,
Afghan, Belize,Visa required,,
Afghan, Benin,eVisa[needs update?,,
Afghan, Bhutan,Visa required,,
Afghan, Bolivia,Visa required,,
Afghan, Bosnia and Herzegovina,Visa required,,
Afghan, Botswana,Visa required,,
Afghan, Brazil,Visa required,,
Afghan, Brunei,Visa required,,
Afghan, Bulgaria,Visa required,,
Afghan, Burkina Faso,Visa required,,
Afghan, Burundi,Visa required,,
Afghan, Cambodia,Visa on arrival,,
Afghan, Cameroon,Visa required,,
Afghan, Canada,Visa required,,Afghans who worked for the Canadian government (military or development projects) may be eligible for asylum under special programs for supporting Afghan nationals.
Afghan, Cape Verde,Visa on arrival,3 months,
Afghan, Central African Republic,Visa required,,
Afghan, Chad,Visa required,,
Afghan, Chile,Visa required,,
Afghan, China,Visa required,,
Afghan, Colombia,Visa required,,
Afghan, Comoros,Visa on arrival,45 days,
Afghan, Republic of the Congo,Visa required,,
Afghan, Democratic Republic of the Congo,Visa required,,
Afghan, Costa Rica,Visa required,,
Afghan, Côte d'Ivoire,Visa required,,
Afghan, Croatia,Visa required,,
Afghan, Cuba,Visa required,,
Afghan, Cyprus,Visa required,,
Afghan, Czech Republic,Visa required,,
Afghan, Denmark,Visa required,,
Afghan, Djibouti,eVisa[needs update?,31 days,
Afghan, Dominica,Visa not required,21 days,
Afghan, Dominican Republic,Visa required,,
Afghan, Ecuador,Visa required,,
Afghan, Egypt,Visa required,,Visa not required for passenger aged 50 years and above or 16 years and below[needs update?]
Afghan, El Salvador,Visa required,,
Afghan, Equatorial Guinea,Visa required,,
Afghan, Eritrea,Visa required,,
Afghan, Estonia,Visa required,,
Afghan, Eswatini,Visa required,,
Afghan, Ethiopia,eVisa[needs update?,up to 90 days,eVisa holders must arrive via Addis Ababa Bole International Airport
Afghan, Fiji,Visa required,,
Afghan, Finland,Visa required,,
Afghan, France,Visa required,,
Afghan, Gabon,eVisa[needs update?,,
Afghan, Gambia,Visa required,,
Afghan, Georgia,Visa required,,
Afghan, Germany,Visa required,,Afghans who worked for the German Government may be eligible for assistance leaving Afghanistan.[13]
Afghan, Ghana,Visa required,,
Afghan, Greece,Visa required,,
Afghan, Grenada,Visa required,,
Afghan, Guatemala,Visa required,,
Afghan, Guinea,Visa required,,
Afghan, Guinea-Bissau,Visa on arrival,90 days,
Afghan, Guyana,Visa required,,
Afghan, Haiti,Visa not required,3 months,
Afghan, Honduras,Visa required,,
Afghan, Hungary,Visa required,,
Afghan, Iceland,Visa required,,
Afghan, India,eVisa[needs update?,6 months,
Afghan, Indonesia,Visa required,,
Afghan, Iran,Visa required,,
Afghan, Iraq,Visa required,,
Afghan, Ireland,Visa required,,
Afghan, Israel,Visa required,,Confirmation from the Israeli Foreign Ministry is required before a visa is issued.[18]
Afghan, Italy,Visa required,,
Afghan, Jamaica,Visa required,,
Afghan, Japan,Visa required,,
Afghan, Jordan,Visa required,,
Afghan, Kazakhstan,Visa required,,
Afghan, Kenya,Visa required,,
Afghan, Kiribati,Visa required,,
Afghan, North Korea,Visa required,,
Afghan, South Korea,Visa required,,
Afghan, Kuwait,Visa required,,
Afghan, Kyrgyzstan,eVisa[needs update?,,
Afghan, Laos,Visa required,,
Afghan, Latvia,Visa required,,
Afghan, Lebanon,Visa required,,
Afghan, Lesotho,Visa required,,
Afghan, Liberia,Visa required,,
Afghan, Libya,Visa required,,
Afghan, Liechtenstein,Visa required,,
Afghan, Lithuania,Visa required,,
Afghan, Luxembourg,Visa required,,
Afghan, Madagascar,Visa on arrival,90 days,
Afghan, Malawi,Visa required,,
Afghan, Malaysia,Visa required,,
Afghan, Maldives,Visa on arrival,30 days,
Afghan, Mali,Visa required,,
Afghan, Malta,Visa required,,
Afghan, Marshall Islands,Visa required,,
Afghan, Mauritania,Visa on arrival,,Available at Nouakchott–Oumtounsy International Airport.30 days and 90 days and 1 year visa are available
Afghan, Mauritius,Visa required,,
Afghan, Mexico,Visa required,,
Afghan, Micronesia,Visa not required,30 days,
Afghan, Moldova,Visa required,,
Afghan, Monaco,Visa required,,
Afghan, Mongolia,Visa required,,
Afghan, Montenegro,Visa required,,
Afghan, Morocco,Visa required,,
Afghan, Mozambique,Visa on arrival,30 days,
Afghan, Myanmar,Visa required,,
Afghan, Namibia,Visa required,,
Afghan, Nauru,Visa required,,
Afghan,   Nepal,Visa required,,
Afghan, Netherlands,Visa required,,
Afghan, New Zealand,Visa required,,"Islamic Emirate of Afghanistan passports are unacceptable, and visas will not be endorsed in them.[24]Holders of an Australian Permanent Resident Visa or Resident Return Visa may be granted a New Zealand Resident Visa on arrival permitting indefinite stay (pursuant to the Trans-Tasman Travel Arrangement), subject to meeting character requirements and obtaining an Electronic Travel Authority prior to departure.[25]"
Afghan, Nicaragua,Visa required,,
Afghan, Niger,Visa required,,
Afghan, Nigeria,Visa required,,
Afghan, North Macedonia,Visa required,,
Afghan, Norway,Visa required,,
Afghan, Oman,Visa required,,
Afghan, Pakistan,Visa required,,
Afghan, Palau,Visa on arrival,30 days,
Afghan, Panama,Visa required,,
Afghan, Papua New Guinea,Visa required,,
Afghan, Paraguay,Visa required,,
Afghan, Peru,Visa required,,
Afghan, Philippines,Visa required,,
Afghan, Poland,Visa required,,
Afghan, Portugal,Visa required,,
Afghan, Qatar,Visa required,,
Afghan, Romania,Visa required,,
Afghan, Russia,Visa required,,
Afghan, Rwanda,Visa on arrival,30 days,
Afghan, Saint Kitts and Nevis,Visa required,,
Afghan, Saint Lucia,Visa required,,
Afghan, Saint Vincent and the Grenadines,Visa not required,1 month,
Afghan, Samoa,Visa on arrival,60 days,Issued free of charge.
Afghan, San Marino,Visa required,,
Afghan, São Tomé and Príncipe,Visa required,,
Afghan, Saudi Arabia,Visa required,,
Afghan, Senegal,Visa on arrival,,
Afghan, Serbia,Visa required,,
Afghan, Seychelles,Visa on arrival,3 months,Issued free of charge.
Afghan, Sierra Leone,Visa required,,
Afghan, Singapore,Visa required,,
Afghan, Slovakia,Visa required,,
Afghan, Slovenia,Visa required,,
Afghan, Solomon Islands,Visa required,,
Afghan, Somalia,Visa on arrival,30 days,
Afghan, South Africa,Visa required,,
Afghan, South Sudan,Electronic Visa[needs update?,,Obtainable online[29]Printed visa authorization must be presented at the time of travel[29]
Afghan, Spain,Visa required,,
Afghan, Sri Lanka,Visa required,,
Afghan, Sudan,Visa required,,
Afghan, Suriname,eVisa[needs update?,,
Afghan, Sweden,Visa required,,
Afghan,  Switzerland,Visa required,,
Afghan, Syria,Visa required,,
Afghan, Tajikistan,Visa required,,
Afghan, Tanzania,Visa required,,
Afghan, Thailand,Visa required,,
Afghan, Timor-Leste,Visa on arrival,30 days,
Afghan, Togo,Visa on arrival,7 days,
Afghan, Tonga,Visa required,,
Afghan, Trinidad and Tobago,Visa required,,
Afghan, Tunisia,Visa required,,
Afghan, Turkey,Visa required,,
Afghan, Turkmenistan,Visa required,,
Afghan, Tuvalu,Visa on arrival,1 month,
Afghan, Uganda,eVisa / Visa on arrival,3 months,
Afghan, Ukraine,Visa required,,
Afghan, United Arab Emirates,Visa required,,
Afghan, United Kingdom,Visa required,,
Afghan, United States,Visa required,,"Afghans who worked for or on behalf of the US Government, ISAF, or RS more than one year may be eligible for a Special Immigrant Visa[35]Afghans who have worked for US-based NGOs, media organizations, or for/on behalf of the US government for less than one year may be eligible for Refugee Admissions Program Priority 2 Designation[36]"
Afghan, Uruguay,Visa required,,
Afghan, Uzbekistan,Visa required,,
Afghan, Vanuatu,Visa required,,
Afghan,  Vatican City,Visa required,,
Afghan, Venezuela,Visa required,,
Afghan, Vietnam,Visa required,,Only Phú Quốc island has a visa exemption for up to 30 days[needs update?]
Afghan, Yemen,Visa required,,
Afghan, Zambia,eVisa[needs update?,,
Afghan, Zimbabwe,eVisa[needs update?,,
Origin,Country,Country,Country,Country
Albanian, Afghanistan,Visa required,,
Albanian, Algeria,Visa required,,
